time_s,fsr_raw,fsr_raw_avg,kg_measured,kg_filtered,kg_reference,brazo_deg,modo
0.000,0,0,0.2000,0.2000,0.5000,90,0
0.042,0,0,0.2000,0.2000,0.5000,90,0
0.084,0,0,0.2000,0.2000,0.5000,90,0
0.125,0,0,0.2000,0.2000,0.5000,90,0
0.167,0,0,0.2000,0.2000,0.5000,90,0
0.209,0,0,0.2000,0.2000,0.5000,90,0
0.251,0,0,0.2000,0.2000,0.5000,90,0
0.292,0,0,0.2000,0.2000,0.5000,90,0
0.334,0,0,0.2000,0.2000,0.5000,90,0
0.376,0,0,0.2000,0.2000,0.5000,90,0
0.418,0,0,0.2000,0.2000,0.5000,90,0
0.459,1,0,0.2000,0.2000,0.5000,90,0
0.501,0,0,0.2000,0.2000,0.5000,90,0
0.543,0,0,0.2000,0.2000,0.5000,90,0
0.585,0,0,0.2000,0.2000,0.5000,90,0
0.626,0,0,0.2000,0.2000,0.5000,90,0
0.668,0,0,0.2000,0.2000,0.5000,90,0
0.710,0,0,0.2000,0.2000,0.5000,90,0
0.752,1,0,0.2000,0.2000,0.5000,90,0
0.793,0,0,0.2000,0.2000,0.5000,90,0
0.835,0,0,0.2000,0.2000,0.5000,90,0
0.877,0,0,0.2000,0.2000,0.5000,90,0
0.919,0,0,0.2000,0.2000,0.5000,90,0
0.961,1,0,0.2000,0.2000,0.5000,90,0
1.002,0,0,0.2000,0.2000,0.5000,90,0
1.044,1,0,0.2000,0.2000,0.5000,90,0
1.086,0,0,0.2000,0.2000,0.5000,90,0
1.128,0,0,0.2000,0.2000,0.5000,90,0
1.169,1,0,0.2000,0.2000,0.5000,90,0
1.210,0,0,0.2000,0.2000,0.5000,90,0
1.252,0,0,0.2000,0.2000,0.5000,90,0
1.294,0,0,0.2000,0.2000,0.5000,90,0
1.336,1,0,0.2000,0.2000,0.5000,90,0
1.377,0,0,0.2000,0.2000,0.5000,90,0
1.419,0,0,0.2000,0.2000,0.5000,90,0
1.461,0,0,0.2000,0.2000,0.5000,90,0
1.503,0,0,0.2000,0.2000,0.5000,90,0
1.545,0,0,0.2000,0.2000,0.5000,90,0
1.586,0,0,0.2000,0.2000,0.5000,90,0
1.628,0,0,0.2000,0.2000,0.5000,90,0
1.670,0,0,0.2000,0.2000,0.5000,90,0
1.712,0,0,0.2000,0.2000,0.5000,90,0
1.753,0,0,0.2000,0.2000,0.5000,90,0
1.795,0,0,0.2000,0.2000,0.5000,90,0
1.837,0,0,0.2000,0.2000,0.5000,90,0
1.879,0,0,0.2000,0.2000,0.5000,90,0
1.921,1,0,0.2000,0.2000,0.5000,90,0
1.962,0,0,0.2000,0.2000,0.5000,90,0
2.004,1,0,0.2000,0.2000,0.5000,90,0
2.046,1,0,0.2000,0.2000,0.5000,90,0
2.088,1,0,0.2000,0.2000,0.5000,90,0
2.130,0,0,0.2000,0.2000,0.5000,90,0
2.171,0,0,0.2000,0.2000,0.5000,90,0
2.213,1,0,0.2000,0.2000,0.5000,90,0
2.255,0,0,0.2000,0.2000,0.5000,90,0
2.297,0,0,0.2000,0.2000,0.5000,90,0
2.338,1,0,0.2000,0.2000,0.5000,90,0
2.380,1,0,0.2000,0.2000,0.5000,90,0
2.422,0,0,0.2000,0.2000,0.5000,90,0
2.464,0,0,0.2000,0.2000,0.5000,90,0
2.506,0,0,0.2000,0.2000,0.5000,90,0
2.547,0,0,0.2000,0.2000,0.5000,90,0
2.589,0,0,0.2000,0.2000,0.5000,90,0
2.631,0,0,0.2000,0.2000,0.5000,90,0
2.673,0,0,0.2000,0.2000,0.5000,90,0
2.715,0,0,0.2000,0.2000,0.5000,90,0
2.756,1,0,0.2000,0.2000,0.5000,90,0
2.798,0,0,0.2000,0.2000,0.5000,90,0
2.840,0,0,0.2000,0.2000,0.5000,90,0
2.882,0,0,0.2000,0.2000,0.5000,90,0
2.923,0,0,0.2000,0.2000,0.5000,90,0
2.965,0,0,0.2000,0.2000,0.5000,90,0
3.007,0,0,0.2000,0.2000,0.5000,90,0
3.049,0,0,0.2000,0.2000,0.5000,90,0
3.091,1,0,0.2000,0.2000,0.5000,90,0
3.132,0,0,0.2000,0.2000,0.5000,90,0
3.173,0,0,0.2000,0.2000,0.5000,90,0
3.215,0,0,0.2000,0.2000,0.5000,90,0
3.257,0,0,0.2000,0.2000,0.5000,90,0
3.299,0,0,0.2000,0.2000,0.5000,90,0
3.340,1,0,0.2000,0.2000,0.5000,90,0
3.382,0,0,0.2000,0.2000,0.5000,90,0
3.424,0,0,0.2000,0.2000,0.5000,90,0
3.466,0,0,0.2000,0.2000,0.5000,90,0
3.507,0,0,0.2000,0.2000,0.5000,90,0
3.549,0,0,0.2000,0.2000,0.5000,90,0
3.591,0,0,0.2000,0.2000,0.5000,90,0
3.633,0,0,0.2000,0.2000,0.5000,90,0
3.675,0,0,0.2000,0.2000,0.5000,90,0
3.716,0,0,0.2000,0.2000,0.5000,90,0
3.758,0,0,0.2000,0.2000,0.5000,90,0
3.800,0,0,0.2000,0.2000,0.5000,90,0
3.842,1,0,0.2000,0.2000,0.5000,90,0
3.884,0,0,0.2000,0.2000,0.5000,90,0
3.925,0,0,0.2000,0.2000,0.5000,90,0
3.967,0,0,0.2000,0.2000,0.5000,90,0
4.009,0,0,0.2000,0.2000,0.5000,90,0
4.051,1,0,0.2000,0.2000,0.5000,90,0
4.092,0,0,0.2000,0.2000,0.5000,90,0
4.134,0,0,0.2000,0.2000,0.5000,90,0
4.176,0,0,0.2000,0.2000,0.5000,90,0
4.218,0,0,0.2000,0.2000,0.5000,90,0
4.260,0,0,0.2000,0.2000,0.5000,90,0
4.301,0,0,0.2000,0.2000,0.5000,90,0
4.343,0,0,0.2000,0.2000,0.5000,90,0
