time_s,fsr_raw,fsr_raw_avg,kg_measured,kg_filtered,kg_reference,brazo_deg
0.000,371,353,1.0237,0.5642,0.5000,97
0.041,356,363,1.0563,0.6626,0.5000,98
0.083,379,379,1.1084,0.7518,0.5000,100
0.125,384,387,1.1344,0.8283,0.5000,102
0.168,308,327,0.9391,0.8505,0.5000,104
0.210,0,37,0.2000,0.7204,0.5000,105
0.251,0,0,0.2000,0.6163,0.5000,105
0.291,0,0,0.2000,0.5330,0.5000,104
0.333,0,0,0.2000,0.4664,0.5000,103
0.374,0,0,0.2000,0.4131,0.5000,102
0.415,0,0,0.2000,0.3705,0.5000,101
0.456,0,0,0.2000,0.3364,0.5000,100
0.498,0,0,0.2000,0.3091,0.5000,99
0.539,0,0,0.2000,0.2873,0.5000,98
0.580,35,30,0.2000,0.2698,0.5000,97
0.621,47,45,0.2000,0.2559,0.5000,96
0.663,56,51,0.2000,0.2447,0.5000,95
0.704,113,109,0.2293,0.2416,0.5000,94
0.747,205,175,0.4442,0.2821,0.5000,93
0.789,236,238,0.6493,0.3556,0.5000,92
0.831,297,264,0.7340,0.4312,0.5000,91
0.873,308,302,0.8577,0.5165,0.5000,90
0.915,345,353,1.0237,0.6180,0.5000,92
0.958,376,368,1.0726,0.7089,0.5000,94
1.000,406,409,1.2060,0.8083,0.5000,96
1.042,383,388,1.1377,0.8742,0.5000,98
1.084,348,359,1.0433,0.9080,0.5000,100
1.126,56,91,0.2000,0.7664,0.5000,101
1.168,236,199,0.5223,0.7176,0.5000,102
1.210,303,295,0.8349,0.7410,0.5000,103
1.253,256,276,0.7730,0.7474,0.5000,104
1.295,233,221,0.5940,0.7167,0.5000,105
1.337,261,256,0.7079,0.7150,0.5000,106
1.379,311,307,0.8740,0.7468,0.5000,107
1.422,278,281,0.7893,0.7553,0.5000,108
1.464,269,273,0.7633,0.7569,0.5000,109
1.505,232,238,0.6493,0.7354,0.5000,110
1.547,264,259,0.7177,0.7318,0.5000,111
1.590,217,226,0.6102,0.7075,0.5000,112
1.632,197,203,0.5353,0.6731,0.5000,113
1.674,143,139,0.3270,0.6039,0.5000,113
1.716,207,198,0.5191,0.5869,0.5000,113
1.757,230,231,0.6265,0.5948,0.5000,113
1.799,153,162,0.4019,0.5562,0.5000,112
1.841,255,250,0.6884,0.5827,0.5000,112
1.882,262,262,0.7274,0.6116,0.5000,113
1.925,245,250,0.6884,0.6270,0.5000,114
1.967,122,149,0.3595,0.5735,0.5000,114
2.008,79,80,0.2000,0.4988,0.5000,113
2.049,124,90,0.2000,0.4390,0.5000,112
2.091,206,180,0.4605,0.4433,0.5000,111
2.131,249,237,0.6460,0.4839,0.5000,110
2.173,329,323,0.9260,0.5723,0.5000,111
2.215,308,310,0.8837,0.6346,0.5000,112
2.257,228,250,0.6884,0.6453,0.5000,113
2.300,185,195,0.5093,0.6181,0.5000,114
2.342,179,172,0.4344,0.5814,0.5000,114
2.383,14,60,0.2000,0.5051,0.5000,113
2.425,0,0,0.2000,0.4441,0.5000,112
2.466,224,206,0.5451,0.4643,0.5000,111
2.508,348,328,0.9423,0.5599,0.5000,110
2.548,294,324,0.9293,0.6338,0.5000,111
2.590,272,292,0.8251,0.6720,0.5000,113
2.632,243,249,0.6851,0.6747,0.5000,114
2.674,199,216,0.5777,0.6553,0.5000,115
2.717,79,110,0.2326,0.5707,0.5000,115
2.757,0,0,0.2000,0.4966,0.5000,114
2.799,195,166,0.4149,0.4802,0.5000,113
2.841,254,237,0.6460,0.5134,0.5000,112
2.883,329,315,0.9000,0.5907,0.5000,113
2.926,345,355,1.0302,0.6786,0.5000,115
2.968,343,347,1.0042,0.7437,0.5000,117
3.010,332,332,0.9553,0.7861,0.5000,119
3.052,68,204,0.5386,0.7366,0.5000,120
3.094,0,0,0.2000,0.6293,0.5000,121
3.135,3,14,0.2000,0.5434,0.5000,120
3.177,0,0,0.2000,0.4747,0.5000,119
3.218,129,116,0.2521,0.4302,0.5000,118
3.260,283,263,0.7307,0.4903,0.5000,117
3.303,363,351,1.0172,0.5957,0.5000,118
3.345,290,290,0.8186,0.6403,0.5000,119
3.387,269,279,0.7828,0.6688,0.5000,120
3.429,194,196,0.5126,0.6375,0.5000,121
3.472,187,194,0.5060,0.6112,0.5000,121
3.513,87,93,0.2000,0.5290,0.5000,120
3.553,119,77,0.2000,0.4632,0.5000,119
3.595,341,339,0.9781,0.5662,0.5000,119
3.637,374,370,1.0791,0.6688,0.5000,120
3.679,354,369,1.0758,0.7502,0.5000,122
3.722,338,338,0.9749,0.7951,0.5000,124
3.764,290,305,0.8674,0.8096,0.5000,126
3.806,0,10,0.2000,0.6877,0.5000,127
3.847,0,0,0.2000,0.5901,0.5000,127
3.888,37,8,0.2000,0.5121,0.5000,126
3.929,95,61,0.2000,0.4497,0.5000,125
3.971,121,115,0.2488,0.4095,0.5000,124
4.013,268,251,0.6916,0.4659,0.5000,123
4.055,361,349,1.0107,0.5749,0.5000,124
4.098,261,275,0.7698,0.6139,0.5000,125
4.140,254,263,0.7307,0.6372,0.5000,126
4.182,224,230,0.6233,0.6344,0.5000,127
4.224,144,175,0.4442,0.5964,0.5000,127
4.265,0,6,0.2000,0.5171,0.5000,126
4.307,0,0,0.2000,0.4537,0.5000,125
4.348,195,150,0.3628,0.4355,0.5000,124
4.390,289,267,0.7437,0.4972,0.5000,123
4.433,317,321,0.9195,0.5816,0.5000,124
4.475,240,264,0.7340,0.6121,0.5000,125
4.517,167,174,0.4409,0.5779,0.5000,125
4.559,143,149,0.3595,0.5342,0.5000,124
4.601,154,152,0.3693,0.5012,0.5000,123
4.643,176,171,0.4312,0.4872,0.5000,122
4.685,288,269,0.7502,0.5398,0.5000,121
4.728,339,328,0.9423,0.6203,0.5000,122
4.770,233,262,0.7274,0.6417,0.5000,123
4.812,189,197,0.5158,0.6166,0.5000,124
4.854,162,164,0.4084,0.5749,0.5000,124
4.896,144,142,0.3367,0.5273,0.5000,123
4.938,164,160,0.3953,0.5009,0.5000,122
4.980,182,180,0.4605,0.4928,0.5000,121
5.022,188,188,0.4865,0.4916,0.5000,120
5.065,284,262,0.7274,0.5387,0.5000,119
5.107,288,307,0.8740,0.6058,0.5000,120
5.149,271,268,0.7470,0.6340,0.5000,121
5.191,261,261,0.7242,0.6520,0.5000,122
5.234,272,269,0.7502,0.6717,0.5000,123
5.276,257,271,0.7567,0.6887,0.5000,124
5.318,42,117,0.2553,0.6020,0.5000,124
5.359,95,40,0.2000,0.5216,0.5000,123
5.401,216,212,0.5647,0.5302,0.5000,122
5.443,261,248,0.6819,0.5606,0.5000,122
5.485,304,297,0.8414,0.6167,0.5000,123
5.527,275,297,0.8414,0.6617,0.5000,124
5.569,242,257,0.7112,0.6716,0.5000,125
5.611,86,89,0.2000,0.5772,0.5000,125
5.652,150,151,0.3660,0.5350,0.5000,124
5.694,72,70,0.2000,0.4680,0.5000,123
5.736,190,171,0.4312,0.4606,0.5000,122
5.778,250,234,0.6363,0.4958,0.5000,121
5.820,329,323,0.9260,0.5818,0.5000,122
5.863,302,320,0.9163,0.6487,0.5000,123
5.905,272,281,0.7893,0.6768,0.5000,124
5.947,177,192,0.4995,0.6414,0.5000,125
5.989,160,149,0.3595,0.5850,0.5000,125
6.031,143,169,0.4247,0.5529,0.5000,124
6.073,100,106,0.2195,0.4863,0.5000,123
6.115,167,140,0.3302,0.4550,0.5000,122
6.156,266,246,0.6753,0.4991,0.5000,121
6.196,298,293,0.8284,0.5650,0.5000,122
6.238,278,279,0.7828,0.6085,0.5000,123
6.280,269,270,0.7535,0.6375,0.5000,124
6.322,282,278,0.7795,0.6659,0.5000,125
6.365,292,291,0.8219,0.6971,0.5000,126
6.407,277,289,0.8153,0.7208,0.5000,128
6.449,0,14,0.2000,0.6166,0.5000,128
6.489,0,0,0.2000,0.5333,0.5000,127
6.531,37,47,0.2000,0.4666,0.5000,126
6.572,217,200,0.5256,0.4784,0.5000,125
6.612,252,244,0.6688,0.5165,0.5000,124
6.654,267,260,0.7209,0.5574,0.5000,123
6.696,342,326,0.9358,0.6331,0.5000,124
6.738,284,287,0.8088,0.6682,0.5000,125
6.781,318,319,0.9130,0.7172,0.5000,127
6.823,269,268,0.7470,0.7231,0.5000,129
6.865,293,287,0.8088,0.7403,0.5000,131
6.907,0,13,0.2000,0.6322,0.5000,132
6.948,0,0,0.2000,0.5458,0.5000,131
6.990,95,92,0.2000,0.4766,0.5000,130
7.031,172,153,0.3726,0.4558,0.5000,129
7.074,182,176,0.4474,0.4541,0.5000,128
7.116,258,233,0.6330,0.4899,0.5000,127
7.158,334,327,0.9391,0.5797,0.5000,128
7.200,295,293,0.8284,0.6295,0.5000,129
7.242,277,285,0.8023,0.6640,0.5000,130
7.282,280,278,0.7795,0.6871,0.5000,131
7.324,272,271,0.7567,0.7011,0.5000,132
7.366,269,267,0.7437,0.7096,0.5000,133
7.408,67,128,0.2912,0.6259,0.5000,134
7.450,0,0,0.2000,0.5407,0.5000,133
7.491,25,4,0.2000,0.4726,0.5000,132
7.533,99,107,0.2228,0.4226,0.5000,131
7.574,82,86,0.2000,0.3781,0.5000,130
7.616,233,206,0.5451,0.4115,0.5000,129
7.658,233,240,0.6558,0.4604,0.5000,128
7.700,245,244,0.6688,0.5021,0.5000,127
7.740,247,242,0.6623,0.5341,0.5000,126
7.782,256,256,0.7079,0.5689,0.5000,127
7.824,233,233,0.6330,0.5817,0.5000,128
7.866,237,233,0.6330,0.5920,0.5000,129
7.908,266,264,0.7340,0.6204,0.5000,130
7.951,273,275,0.7698,0.6502,0.5000,131
7.993,245,252,0.6949,0.6592,0.5000,132
8.035,0,57,0.2000,0.5673,0.5000,132
8.075,0,0,0.2000,0.4939,0.5000,131
8.116,20,3,0.2000,0.4351,0.5000,130
8.157,153,131,0.3009,0.4083,0.5000,129
8.200,232,225,0.6070,0.4480,0.5000,128
8.242,256,254,0.7014,0.4987,0.5000,127
8.284,306,310,0.8837,0.5757,0.5000,128
8.326,252,251,0.6916,0.5989,0.5000,129
8.369,216,235,0.6395,0.6070,0.5000,130
8.411,213,214,0.5712,0.5998,0.5000,131
8.453,232,224,0.6037,0.6006,0.5000,132
8.495,248,247,0.6786,0.6162,0.5000,133
8.537,93,157,0.3856,0.5701,0.5000,133
8.578,0,2,0.2000,0.4961,0.5000,132
8.620,149,105,0.2163,0.4401,0.5000,131
8.662,277,267,0.7437,0.5008,0.5000,130
8.704,337,327,0.9391,0.5885,0.5000,131
8.746,339,344,0.9944,0.6697,0.5000,133
8.789,333,330,0.9488,0.7255,0.5000,135
8.831,326,331,0.9521,0.7708,0.5000,137
8.873,6,148,0.3563,0.6879,0.5000,138
8.915,0,0,0.2000,0.5903,0.5000,138
8.955,137,143,0.3400,0.5403,0.5000,137
8.998,161,160,0.3953,0.5113,0.5000,136
9.040,170,165,0.4116,0.4914,0.5000,135
9.082,171,172,0.4344,0.4800,0.5000,134
9.124,214,201,0.5288,0.4897,0.5000,133
9.166,249,240,0.6558,0.5230,0.5000,132
9.209,271,272,0.7600,0.5704,0.5000,133
9.251,249,261,0.7242,0.6011,0.5000,134
9.293,245,245,0.6721,0.6153,0.5000,135
9.335,257,254,0.7014,0.6325,0.5000,136
9.377,264,257,0.7112,0.6483,0.5000,137
9.417,264,265,0.7372,0.6661,0.5000,138
9.459,287,297,0.8414,0.7011,0.5000,139
9.501,8,68,0.2000,0.6009,0.5000,139
9.542,42,7,0.2000,0.5207,0.5000,138
9.584,244,233,0.6330,0.5432,0.5000,137
9.626,276,269,0.7502,0.5846,0.5000,137
9.667,228,240,0.6558,0.5988,0.5000,138
9.710,171,169,0.4247,0.5640,0.5000,138
9.751,205,184,0.4735,0.5459,0.5000,137
9.793,265,246,0.6753,0.5718,0.5000,137
9.835,270,270,0.7535,0.6081,0.5000,138
9.877,273,268,0.7470,0.6359,0.5000,139
9.917,280,275,0.7698,0.6627,0.5000,140
9.959,304,300,0.8512,0.7004,0.5000,141
10.001,267,281,0.7893,0.7182,0.5000,142
10.043,179,195,0.5093,0.6764,0.5000,143
10.086,251,235,0.6395,0.6690,0.5000,144
10.128,187,201,0.5288,0.6410,0.5000,145
10.170,79,87,0.2000,0.5528,0.5000,144
10.212,141,114,0.2456,0.4913,0.5000,143
10.254,184,174,0.4409,0.4813,0.5000,142
10.296,169,171,0.4312,0.4712,0.5000,141
10.337,217,195,0.5093,0.4789,0.5000,140
10.380,212,201,0.5288,0.4889,0.5000,139
10.422,301,295,0.8349,0.5581,0.5000,138
10.464,268,269,0.7502,0.5965,0.5000,139
10.506,255,252,0.6949,0.6162,0.5000,140
10.546,244,249,0.6851,0.6300,0.5000,141
10.588,249,250,0.6884,0.6416,0.5000,142
10.630,285,275,0.7698,0.6673,0.5000,143
10.672,197,225,0.6070,0.6552,0.5000,144
10.715,40,98,0.2000,0.5642,0.5000,144
10.755,0,0,0.2000,0.4913,0.5000,143
10.797,172,134,0.3107,0.4552,0.5000,142
10.839,207,173,0.4377,0.4517,0.5000,141
10.881,273,246,0.6753,0.4964,0.5000,140
10.924,272,275,0.7698,0.5511,0.5000,139
10.966,276,284,0.7991,0.6007,0.5000,140
11.008,205,216,0.5777,0.5961,0.5000,141
11.050,229,231,0.6265,0.6022,0.5000,142
11.093,204,203,0.5353,0.5888,0.5000,142
11.134,229,219,0.5874,0.5885,0.5000,142
11.176,249,248,0.6819,0.6072,0.5000,143
11.218,257,256,0.7079,0.6273,0.5000,144
11.260,232,238,0.6493,0.6317,0.5000,145
11.302,39,72,0.2000,0.5454,0.5000,144
11.344,0,0,0.2000,0.4763,0.5000,143
11.385,93,38,0.2000,0.4210,0.5000,142
11.427,224,191,0.4963,0.4361,0.5000,141
11.469,303,306,0.8707,0.5230,0.5000,140
11.509,296,294,0.8316,0.5847,0.5000,141
11.551,280,280,0.7860,0.6250,0.5000,142
11.593,279,275,0.7698,0.6540,0.5000,143
11.636,296,293,0.8284,0.6888,0.5000,144
11.678,302,302,0.8577,0.7226,0.5000,146
11.720,136,209,0.5549,0.6891,0.5000,147
11.762,0,0,0.2000,0.5912,0.5000,147
11.802,121,73,0.2000,0.5130,0.5000,146
11.845,198,179,0.4572,0.5018,0.5000,145
11.887,249,247,0.6786,0.5372,0.5000,144
11.929,254,255,0.7047,0.5707,0.5000,144
11.971,253,245,0.6721,0.5910,0.5000,145
12.013,235,246,0.6753,0.6078,0.5000,146
12.055,226,225,0.6070,0.6077,0.5000,147
12.097,235,236,0.6428,0.6147,0.5000,148
12.137,223,221,0.5940,0.6105,0.5000,149
12.179,98,164,0.4084,0.5701,0.5000,149
12.220,11,10,0.2000,0.4961,0.5000,148
12.261,97,82,0.2000,0.4369,0.5000,147
12.303,191,182,0.4670,0.4429,0.5000,146
12.345,255,242,0.6623,0.4868,0.5000,145
12.388,318,321,0.9195,0.5733,0.5000,146
12.430,290,295,0.8349,0.6256,0.5000,147
12.472,268,279,0.7828,0.6571,0.5000,148
12.513,194,202,0.5321,0.6321,0.5000,149
12.553,202,200,0.5256,0.6108,0.5000,150
12.595,205,208,0.5516,0.5989,0.5000,150
12.636,6,41,0.2000,0.5192,0.5000,149
12.678,0,0,0.2000,0.4553,0.5000,148
12.719,97,78,0.2000,0.4043,0.5000,147
12.761,162,147,0.3530,0.3940,0.5000,146
12.803,242,247,0.6786,0.4509,0.5000,145
12.846,210,220,0.5907,0.4789,0.5000,144
12.888,176,193,0.5028,0.4837,0.5000,143
12.930,125,127,0.2879,0.4445,0.5000,142
12.972,259,216,0.5777,0.4711,0.5000,141
13.015,283,284,0.7991,0.5367,0.5000,140
13.057,256,260,0.7209,0.5736,0.5000,141
13.099,248,247,0.6786,0.5946,0.5000,142
13.141,262,262,0.7274,0.6212,0.5000,143
13.181,263,264,0.7340,0.6437,0.5000,144
13.223,272,270,0.7535,0.6657,0.5000,145
13.265,275,273,0.7633,0.6852,0.5000,146
13.307,288,286,0.8056,0.7093,0.5000,147
13.347,277,283,0.7958,0.7266,0.5000,148
13.389,172,201,0.5288,0.6870,0.5000,149
13.431,15,16,0.2000,0.5896,0.5000,149
13.472,120,97,0.2000,0.5117,0.5000,148
13.514,221,204,0.5386,0.5171,0.5000,147
13.556,240,237,0.6460,0.5429,0.5000,146
13.598,256,257,0.7112,0.5765,0.5000,146
13.640,255,252,0.6949,0.6002,0.5000,147
13.682,248,247,0.6786,0.6159,0.5000,148
13.724,323,308,0.8772,0.6681,0.5000,149
13.764,325,328,0.9423,0.7230,0.5000,151
13.806,339,336,0.9684,0.7721,0.5000,153
13.848,77,164,0.4084,0.6993,0.5000,154
13.890,0,0,0.2000,0.5995,0.5000,154
13.930,100,38,0.2000,0.5196,0.5000,153
13.972,95,99,0.2000,0.4557,0.5000,152
14.013,89,88,0.2000,0.4045,0.5000,151
14.055,102,87,0.2000,0.3636,0.5000,150
14.097,209,189,0.4898,0.3888,0.5000,149
14.139,271,270,0.7535,0.4618,0.5000,148
14.181,258,261,0.7242,0.5143,0.5000,147
14.224,232,242,0.6623,0.5439,0.5000,146
14.266,320,312,0.8902,0.6131,0.5000,147
14.308,272,275,0.7698,0.6445,0.5000,148
14.351,261,265,0.7372,0.6630,0.5000,149
14.393,271,269,0.7502,0.6805,0.5000,150
14.435,270,274,0.7665,0.6977,0.5000,151
14.476,267,270,0.7535,0.7088,0.5000,152
14.516,297,291,0.8219,0.7314,0.5000,153
14.558,145,208,0.5516,0.6955,0.5000,154
14.600,0,0,0.2000,0.5964,0.5000,154
14.640,130,122,0.2716,0.5314,0.5000,153
14.680,139,138,0.3237,0.4899,0.5000,152
14.722,144,142,0.3367,0.4593,0.5000,151
14.764,145,144,0.3433,0.4361,0.5000,150
14.806,185,173,0.4377,0.4364,0.5000,149
14.849,221,190,0.4930,0.4477,0.5000,148
14.891,206,219,0.5874,0.4757,0.5000,147
14.933,232,241,0.6591,0.5123,0.5000,146
14.975,234,228,0.6167,0.5332,0.5000,145
15.015,282,276,0.7730,0.5812,0.5000,146
15.057,289,288,0.8121,0.6274,0.5000,147
15.099,298,298,0.8447,0.6708,0.5000,149
15.141,278,278,0.7795,0.6926,0.5000,151
15.181,280,285,0.8023,0.7145,0.5000,153
15.223,164,229,0.6200,0.6956,0.5000,154
15.265,0,0,0.2000,0.5965,0.5000,154
15.305,0,0,0.2000,0.5172,0.5000,153
15.347,66,50,0.2000,0.4538,0.5000,152
15.388,134,127,0.2879,0.4206,0.5000,151
15.428,108,121,0.2684,0.3901,0.5000,150
15.470,125,117,0.2553,0.3632,0.5000,149
15.512,157,163,0.4051,0.3716,0.5000,148
